Quarter,quarterly revenue,quarterly gross profit,quarterly net income
2024-10-31,1209,787,132
2024-07-31,1134,736,133
2024-04-30,1021,677,114
2024-01-31,1453,914,158
2023-10-31,1056,686,96
2023-07-31,935,584,57
2023-04-30,836,510,17
2023-01-31,1200,668,38
2022-10-31,880,521,-2
2022-07-31,805,466,-17
2022-04-30,813,450,-16
2022-01-31,1161,677,66
2021-10-31,905,576,47
2021-07-31,865,563,109
2021-04-30,781,495,42
2021-01-31,1122,679,82
2020-10-31,820,524,42
2020-07-31,698,424,5
2020-04-30,485,264,-244
2020-01-31,1185,689,83
